28.05.2017
Stationscode;Stationsname;"Tagesmittelwerte über 50 µg/m³";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEBW122;"Freiburg Schwarzwaldstraße (V)";11;G;01.01.2017;02.05.2017;10;1;0;0;0;0;0;0;0;0;0;0
DEBW125;"Pfinztal Karlsruher Straße (S)";11;G;01.01.2017;03.05.2017;8;3;0;0;0;0;0;0;0;0;0;0
DEBW136;"Tübingen Mühlstraße (S)";21;G;01.01.2017;07.05.2017;16;5;0;0;0;0;0;0;0;0;0;0
DEBW137;"Tübingen-Unterjesingen Jesinger Hauptstraße (S)";19;G;01.01.2017;01.05.2017;14;5;0;0;0;0;0;0;0;0;0;0
DEBW142;"Markgröningen Grabenstraße (S)";24;G;01.01.2017;01.05.2017;11;8;4;1;0;0;0;0;0;0;0;0
DEBW147;"Reutlingen Lederstraße Ost (S)";24;G;01.01.2017;07.05.2017;12;10;2;0;0;0;0;0;0;0;0;0
DEBW152;"Heilbronn Weinsberger Straße Ost (S)";13;G;01.01.2017;02.05.2017;9;4;0;0;0;0;0;0;0;0;0;0
DEBW156;"Schramberg Oberndorfer Straße";6;G;01.01.2017;07.05.2017;4;2;0;0;0;0;0;0;0;0;0;0
DEBW220;"Esslingen am Neckar Grabbrunnenstraße";24;G;01.01.2017;03.05.2017;15;9;0;0;0;0;0;0;0;0;0;0
DEBW226;"Friedrichshafen Maybachstraße";15;G;01.01.2017;08.05.2017;10;4;1;0;0;0;0;0;0;0;0;0
DEBY001;Ansbach/Residenzstraße;11;K;01.01.2017;27.05.2017;9;2;0;0;0;0;0;0;0;0;0;0
DEBY006;Augsburg/Königsplatz;15;K;01.01.2017;27.05.2017;10;5;0;0;0;0;0;0;0;0;0;0
DEBY007;Augsburg/Bourges-Platz;13;K;01.01.2017;27.05.2017;9;4;0;0;0;0;0;0;0;0;0;0
DEBY009;Bamberg/Löwenbrücke;11;K;01.01.2017;27.05.2017;8;3;0;0;0;0;0;0;0;0;0;0
DEBY012;"Burghausen/Marktler Straße";14;K;01.01.2017;27.05.2017;10;4;0;0;0;0;0;0;0;0;0;0
DEBY021;Ingolstadt/Rechbergstraße;11;K;01.01.2017;27.05.2017;8;3;0;0;0;0;0;0;0;0;0;0
DEBY028;"Kelheim/Regensburger Straße";15;K;01.01.2017;27.05.2017;9;6;0;0;0;0;0;0;0;0;0;0
DEBY032;Kulmbach/Konrad-Adenauer-Straße;11;K;01.01.2017;27.05.2017;8;3;0;0;0;0;0;0;0;0;0;0
DEBY033;Landshut/Podewilsstraße;15;K;01.01.2017;27.05.2017;11;4;0;0;0;0;0;0;0;0;0;0
DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";6;K;01.01.2017;27.05.2017;6;0;0;0;0;0;0;0;0;0;0;0
DEBY037;München/Stachus;22;K;01.01.2017;27.05.2017;13;7;1;0;1;0;0;0;0;0;0;0
DEBY039;München/Lothstraße;11;K;01.01.2017;27.05.2017;8;3;0;0;0;0;0;0;0;0;0;0
DEBY052;Neu-Ulm/Gabelsbergerstraße;12;K;01.01.2017;27.05.2017;7;4;0;1;0;0;0;0;0;0;0;0
DEBY056;Fürth/Theresienstraße;11;K;01.01.2017;27.05.2017;8;3;0;0;0;0;0;0;0;0;0;0
